"CD_MUN","NM_MUN","SIGLA_UF","Symbol_WRB","WRB1","Soil_Group","Legenda","Rotulo","area","porc_mun"
3549102.0,São João da Boa Vista,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,182.185390837041,0.352799654545839
3549201.0,São João das Duas Pontes,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,129.462305187769,1.0
3549250.0,São João de Iracema,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,178.396481358631,1.0
3549300.0,São João do Pau d'Alho,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,56.1500842710851,0.477204733978099
3549300.0,São João do Pau d'Alho,SP,GLdy,Dystric GLEYSOLS,GLEYSOLS,Dystric GLEYSOLS,GL,53.1846689320719,0.452002452336696
3549300.0,São João do Pau d'Alho,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,8.32980515736866,0.0707928136852053
3549409.0,São Joaquim da Barra,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,410.862778287996,1.0
3549508.0,São José da Bela Vista,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,154.141373383649,0.556563738320013
3549508.0,São José da Bela Vista,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,122.810506106245,0.443436261679987
3549607.0,São José do Barreiro,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,509.660742241625,0.893068002452273
3549607.0,São José do Barreiro,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,61.0245144713564,0.106931997547727
3549706.0,São José do Rio Pardo,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,418.124947936572,0.996284197915719
3549706.0,São José do Rio Pardo,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,1.55946421340718,0.00371580208428111
3549805.0,São José do Rio Preto,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,431.943918892681,1.0
3549904.0,São José dos Campos,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,318.825172951862,0.289996856930807
3549904.0,São José dos Campos,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,780.206547459032,0.709659919338043
3549904.0,São José dos Campos,SP,Water,,,Water,Water,0.377343280899763,0.0003432237311494
3549953.0,São Lourenço da Serra,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,186.456036327951,1.0
3550001.0,São Luiz do Paraitinga,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,422.443659447353,0.684323831625284
3550001.0,São Luiz do Paraitinga,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,194.87176919122,0.315676168374716
3550100.0,São Manuel,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,144.005656550864,0.221297447918605
3550100.0,São Manuel,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,26.5167707531118,0.0407490499696706
3550100.0,São Manuel,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,437.246495397457,0.671928699610731
3550100.0,São Manuel,SP,Water,,,Water,Water,42.9645489463291,0.0660248025009932
3550209.0,São Miguel Arcanjo,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,309.489365904326,0.332662924825402
3550209.0,São Miguel Arcanjo,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,181.670282185737,0.195273163099393
3550209.0,São Miguel Arcanjo,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,439.179571607358,0.472063912075205
3550308.0,São Paulo,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,1090.35307099584,0.716814064757161
3550308.0,São Paulo,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,410.023265485443,0.269555294881859
3550308.0,São Paulo,SP,Water,,,Water,Water,20.73370391005,0.01363064036098
3550407.0,São Pedro,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,599.019451557499,0.979946327224128
3550407.0,São Pedro,SP,Water,,,Water,Water,12.2583653147049,0.0200536727758725
3550506.0,São Pedro do Turvo,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,163.834132719923,0.224055407341317
3550506.0,São Pedro do Turvo,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,567.387374781319,0.775944592658683
3550605.0,São Roque,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,306.908398126553,1.0
3550704.0,São Sebastião,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,308.017074398096,1.0
3550803.0,São Sebastião da Grama,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,192.485935256415,0.762593502892532
3550803.0,São Sebastião da Grama,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,59.9236834019032,0.237406497107468
3550902.0,São Simão,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,32.4437460897933,0.0525615660593097
3550902.0,São Simão,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,352.470773783506,0.571031958175326
3550902.0,São Simão,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,232.337752503522,0.376406475765365
3551009.0,São Vicente,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,74.6223297174101,0.548332952010399
3551009.0,São Vicente,SP,GLeu,Eutric GLEYSOLS,GLEYSOLS,Eutric GLEYSOLS,GL,61.4671200298939,0.451667047989601
3551108.0,Sarapuí,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,146.760589047948,0.416233029732942
3551108.0,Sarapuí,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,205.831777641717,0.583766970267058
3551207.0,Sarutaiá,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,2.54994428027749,0.018007114929712
3551207.0,Sarutaiá,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,139.057653062817,0.981992885070288
3551306.0,Sebastianópolis do Sul,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,167.848290244349,1.0
3551405.0,Serra Azul,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,188.514536456064,0.665791433682495
3551405.0,Serra Azul,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,60.5645943023691,0.21390068282809
3551405.0,Serra Azul,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,34.064398760097,0.120307883489415
3551504.0,Serrana,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,49.4278459080392,0.392141001061301
3551504.0,Serrana,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,7.5827069345665,0.0601582009786057
3551504.0,Serrana,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,69.0355524467324,0.547700797960093
3551603.0,Serra Negra,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,203.734357147732,1.0
3551702.0,Sertãozinho,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,403.088066013367,1.0
3551801.0,Sete Barras,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,694.896642509424,0.653897439249663
3551801.0,Sete Barras,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,367.803103351038,0.346102560750337
3551900.0,Severínia,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,140.459690487784,1.0
3552007.0,Silveiras,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,293.68169925785,0.708038953574943
3552007.0,Silveiras,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,121.100139756837,0.291961046425057
3552106.0,Socorro,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,449.029275144438,1.0
3552205.0,Sorocaba,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,324.630921961392,0.720790535162818
3552205.0,Sorocaba,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,125.750854885971,0.279209464837182
3552304.0,Sud Mennucci,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,0.258023572947621,0.0004338398587782
3552304.0,Sud Mennucci,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,356.516914405241,0.59944619024787
3552304.0,Sud Mennucci,SP,Water,,,Water,Water,237.968877572331,0.400119969893352
3552403.0,Sumaré,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,102.291917721744,0.666547758579991
3552403.0,Sumaré,SP,FRha,Haplic FERRALSOLS,FERRALSOLS,Haplic FERRALSOLS,FR,25.4366859627457,0.165748833258673
3552403.0,Sumaré,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,25.7366452868159,0.167703408161336
3552502.0,Suzano,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,167.364351891677,0.811519362372967
3552502.0,Suzano,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,38.8714567060208,0.188480637627033
3552551.0,Suzanápolis,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,159.385445404343,0.482131155611336
3552551.0,Suzanápolis,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,167.166559361045,0.505668546082411
3552551.0,Suzanápolis,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,1.29535338590384,0.00391836421002251
3552551.0,Suzanápolis,SP,Water,,,Water,Water,2.73788519861031,0.0082819340962308
3552601.0,Tabapuã,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,345.79173511067,1.0
3552700.0,Tabatinga,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,368.603651365301,1.0
3552809.0,Taboão da Serra,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,20.3877766006353,1.0
3552908.0,Taciba,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,130.139433182384,0.21430362011415
3552908.0,Taciba,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,379.489643830992,0.624914389744091
3552908.0,Taciba,SP,NTeu,Eutric NITISOLS,NITISOLS,Eutric NITISOLS,NT,80.2285063637373,0.132114140423561
3552908.0,Taciba,SP,Water,,,Water,Water,17.409027952476,0.028667849718198
3553005.0,Taguaí,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,145.331697196331,1.0
3553104.0,Taiaçu,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,107.058720692748,1.0
3553203.0,Taiúva,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,23.3449183226848,0.17624250793122
3553203.0,Taiúva,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,109.114149564588,0.82375749206878
3553302.0,Tambaú,SP,FRha,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,270.888632936184,0.482190152939546
3553302.0,Tambaú,SP,FRro,Rhodic FERRALSOLS,FERRALSOLS,Rhodic FERRALSOLS,FR,290.899349014054,0.517809847060454
3553401.0,Tanabi,SP,LXcr,Chromic LIXISOLS,LIXISOLS,Chromic LIXISOLS,LX,747.218593836941,1.0
3553500.0,Tapiraí,SP,ACcr,Chromic ACRISOLS,ACRISOLS,Chromic ACRISOLS,AC,307.455497943358,0.407171627014988
3553500.0,Tapiraí,SP,CMdy,Dystric CAMBISOLS,CAMBISOLS,Dystric CAMBISOLS,CM,437.443730883856,0.57931855771953
