atividade,descricao,CNAE 4 digitos,cnae_2.0,Secao_ISIC_Rev.4
3680,"Água, esgoto e gestão de resíduos",3900,39,E
4180,Construção,4110,41,F
4180,Construção,4120,41,F
4180,Construção,4211,42,F
4180,Construção,4212,42,F
4180,Construção,4213,42,F
4180,Construção,4221,42,F
4180,Construção,4222,42,F
4180,Construção,4223,42,F
4180,Construção,4291,42,F
4180,Construção,4292,42,F
4180,Construção,4299,42,F
4180,Construção,4311,43,F
4180,Construção,4312,43,F
4180,Construção,4313,43,F
4180,Construção,4319,43,F
4180,Construção,4321,43,F
4180,Construção,4322,43,F
4180,Construção,4329,43,F
4180,Construção,4330,43,F
4180,Construção,4391,43,F
4180,Construção,4399,43,F
4500,Comércio e reparação de veículos automotores e motocicletas,4511,45,G
4500,Comércio e reparação de veículos automotores e motocicletas,4512,45,G
4500,Comércio e reparação de veículos automotores e motocicletas,4520,45,G
4500,Comércio e reparação de veículos automotores e motocicletas,4530,45,G
4500,Comércio e reparação de veículos automotores e motocicletas,4541,45,G
4500,Comércio e reparação de veículos automotores e motocicletas,4542,45,G
4500,Comércio e reparação de veículos automotores e motocicletas,4543,45,G
4580,Comércio por atacado e varejo,4611,46,G
4580,Comércio por atacado e varejo,4612,46,G
4580,Comércio por atacado e varejo,4613,46,G
4580,Comércio por atacado e varejo,4614,46,G
4580,Comércio por atacado e varejo,4615,46,G
4580,Comércio por atacado e varejo,4616,46,G
4580,Comércio por atacado e varejo,4617,46,G
4580,Comércio por atacado e varejo,4618,46,G
4580,Comércio por atacado e varejo,4619,46,G
4580,Comércio por atacado e varejo,4621,46,G
4580,Comércio por atacado e varejo,4622,46,G
4580,Comércio por atacado e varejo,4623,46,G
4580,Comércio por atacado e varejo,4631,46,G
4580,Comércio por atacado e varejo,4632,46,G
4580,Comércio por atacado e varejo,4633,46,G
4580,Comércio por atacado e varejo,4634,46,G
4580,Comércio por atacado e varejo,4635,46,G
4580,Comércio por atacado e varejo,4636,46,G
4580,Comércio por atacado e varejo,4637,46,G
4580,Comércio por atacado e varejo,4639,46,G
4580,Comércio por atacado e varejo,4641,46,G
4580,Comércio por atacado e varejo,4642,46,G
4580,Comércio por atacado e varejo,4643,46,G
4580,Comércio por atacado e varejo,4644,46,G
4580,Comércio por atacado e varejo,4645,46,G
4580,Comércio por atacado e varejo,4646,46,G
4580,Comércio por atacado e varejo,4647,46,G
4580,Comércio por atacado e varejo,4649,46,G
4580,Comércio por atacado e varejo,4651,46,G
4580,Comércio por atacado e varejo,4652,46,G
4580,Comércio por atacado e varejo,4661,46,G
4580,Comércio por atacado e varejo,4662,46,G
4580,Comércio por atacado e varejo,4663,46,G
4580,Comércio por atacado e varejo,4664,46,G
4580,Comércio por atacado e varejo,4665,46,G
4580,Comércio por atacado e varejo,4669,46,G
4580,Comércio por atacado e varejo,4671,46,G
4580,Comércio por atacado e varejo,4672,46,G
4580,Comércio por atacado e varejo,4673,46,G
4580,Comércio por atacado e varejo,4674,46,G
4580,Comércio por atacado e varejo,4679,46,G
4580,Comércio por atacado e varejo,4681,46,G
4580,Comércio por atacado e varejo,4682,46,G
4580,Comércio por atacado e varejo,4683,46,G
4580,Comércio por atacado e varejo,4684,46,G
4580,Comércio por atacado e varejo,4685,46,G
